coin,date,year,month,open,high,low,close,volume,market_cap,circulating_supply
luna,21/09/2021,2021,9,27.49,29.37,23.97,25.07,13553135.0,,
luna,22/09/2021,2021,9,25.18,33.58,25.08,33.19,10975921.0,,
luna,23/09/2021,2021,9,33.18,36.8,32.57,36.16,10486477.0,,
luna,24/09/2021,2021,9,36.15,41.21,32.56,40.16,21037880.0,,
luna,25/09/2021,2021,9,40.13,40.76,36.19,37.89,10374058.0,,
luna,26/09/2021,2021,9,37.85,37.89,33.37,34.68,9012922.0,,
luna,27/09/2021,2021,9,34.67,39.63,33.87,36.77,10247112.0,,
luna,28/09/2021,2021,9,36.75,37.18,33.01,33.17,7613596.0,,
luna,29/09/2021,2021,9,33.12,36.31,33.05,34.15,7064109.0,,
luna,30/09/2021,2021,9,34.14,38.92,33.86,38.92,7137352.0,,
luna,01/10/2021,2021,1,38.84,39.92,36.53,37.76,8283073.0,,
luna,02/10/2021,2021,2,37.77,43.53,37.11,41.47,8652214.0,,
luna,03/10/2021,2021,3,41.5,46.1,41.5,42.77,10704825.0,,
luna,04/10/2021,2021,4,42.7,49.51,41.57,46.8,12892678.0,,
luna,05/10/2021,2021,5,46.78,47.24,43.55,44.71,6421725.0,,
luna,06/10/2021,2021,6,44.74,44.8,40.42,42.05,6913398.0,,
luna,07/10/2021,2021,7,42.05,47.38,40.92,46.52,6856907.0,,
luna,08/10/2021,2021,8,46.53,48.5,43.09,43.27,6068811.0,,
luna,09/10/2021,2021,9,43.29,44.4,42.12,42.48,3206660.0,,
luna,10/10/2021,2021,10,42.49,43.21,39.08,39.26,3977548.0,,
luna,11/10/2021,2021,11,39.23,40.74,37.52,39.18,5036064.0,,
luna,12/10/2021,2021,12,39.12,39.12,35.3,37.58,6481218.0,,
luna,13/10/2021,2021,10,37.57,38.9,35.23,36.59,5889559.0,,
luna,14/10/2021,2021,10,36.63,39.73,36.16,37.15,5969674.0,,
luna,15/10/2021,2021,10,37.12,37.99,35.73,37.02,4660185.0,,
luna,16/10/2021,2021,10,36.97,38.41,36.31,36.59,2842545.0,,
luna,17/10/2021,2021,10,36.62,37.34,35.01,36.14,3008366.0,,
luna,18/10/2021,2021,10,36.23,37.34,35.33,35.81,2885278.0,,
luna,19/10/2021,2021,10,35.8,38.35,35.59,37.73,3425556.0,,
luna,20/10/2021,2021,10,37.73,43.96,37.7,42.59,7844264.0,,
luna,21/10/2021,2021,10,42.62,43.64,39.18,40.92,7774631.0,,
luna,22/10/2021,2021,10,40.97,45.51,40.91,43.72,9287134.0,,
luna,23/10/2021,2021,10,43.76,44.04,41.55,43.12,3974728.0,,
luna,24/10/2021,2021,10,43.11,43.55,39.95,41.4,3685969.0,,
luna,25/10/2021,2021,10,41.47,43.76,41.23,42.78,3605322.0,,
luna,26/10/2021,2021,10,42.84,46.91,42.84,43.85,6930045.0,,
luna,27/10/2021,2021,10,43.9,44.85,38.17,39.91,9008984.0,,
luna,28/10/2021,2021,10,39.93,43.67,39.63,42.96,4870667.0,,
luna,29/10/2021,2021,10,42.92,45.99,42.23,45.59,3674756.0,,
luna,30/10/2021,2021,10,45.69,45.74,42.43,43.23,2504744.0,,
luna,31/10/2021,2021,10,43.31,43.63,41.22,42.88,2554524.0,,
luna,01/11/2021,2021,1,42.93,44.31,41.58,44.07,2773985.0,,
luna,02/11/2021,2021,2,44.06,45.47,42.75,44.75,2745930.0,,
luna,03/11/2021,2021,3,44.76,49.69,43.84,47.97,6745780.0,,
luna,04/11/2021,2021,4,47.95,52.13,46.11,51.93,6170918.0,,
luna,05/11/2021,2021,5,52.0,53.07,48.8,49.88,3677925.0,,
luna,06/11/2021,2021,6,49.91,51.14,47.46,51.14,2627093.0,,
luna,07/11/2021,2021,7,51.17,52.63,50.43,50.52,1979070.0,,
luna,08/11/2021,2021,8,50.55,54.8,49.69,54.12,3793689.0,,
luna,09/11/2021,2021,9,54.15,54.17,50.06,50.23,3082577.0,,
luna,10/11/2021,2021,10,50.21,54.78,44.5,48.83,5990081.0,,
luna,11/11/2021,2021,11,48.69,51.94,47.47,50.45,3287872.0,,
luna,12/11/2021,2021,12,50.43,50.63,47.02,49.58,2993867.0,,
luna,13/11/2021,2021,11,49.57,53.39,48.48,52.07,2510604.0,,
luna,14/11/2021,2021,11,52.08,52.47,49.1,51.07,1588154.0,,
luna,15/11/2021,2021,11,51.06,51.59,48.06,48.13,1932571.0,,
luna,16/11/2021,2021,11,48.07,48.07,41.08,43.24,6173984.0,,
luna,17/11/2021,2021,11,43.23,43.86,40.5,43.21,5072361.0,,
luna,18/11/2021,2021,11,43.21,45.09,38.9,40.26,6528314.0,,
luna,19/11/2021,2021,11,40.26,43.47,39.61,42.38,3923267.0,,
luna,20/11/2021,2021,11,42.39,45.5,41.41,45.2,2703645.0,,
luna,21/11/2021,2021,11,45.26,45.36,42.61,43.64,2252689.0,,
luna,22/11/2021,2021,11,43.53,43.84,40.39,41.12,3098059.0,,
luna,23/11/2021,2021,11,41.08,43.4,39.86,42.7,2364550.0,,
luna,24/11/2021,2021,11,42.72,42.98,37.86,38.6,3711075.0,,
luna,25/11/2021,2021,11,38.57,43.78,38.41,43.57,3206870.0,,
luna,26/11/2021,2021,11,43.55,45.11,37.92,40.91,7702231.0,,
